latitude,longitude
46,-123
33,52
48,-90
36,-112
59,25
39,-106
18,-66
40,-107
44,-68
29,-81
38,-122
-24,-66
52,5
45,-87
35,-81
37,-4
40,-4
42,-72
-34,-53
45,-123
40,-74
3,10
53,-6
40,-106
21,106
-1,-90
31,7
