"total_time","status","distance","air_time","month","day_of_week","day","scheduled_departure","late_night_departure","departure_delay","scheduled_arrival","arrival_delay","airline","destination_airport","state","latitude","longitude"
135,"delayed",334,51,"1","Thur",15,1926,FALSE,-1,2059,42,"OO","ORD","IL",41.9796,-87.90446
227,"delayed",1026,146,"9","Thur",3,1132,FALSE,67,1324,55,"DL","FCA","MT",48.3114,-114.25507
351,"delayed",334,54,"4","Thur",9,1649,FALSE,277,1819,261,"OO","ORD","IL",41.9796,-87.90446
112,"on time",503,67,"8","Sun",30,1300,FALSE,29,1532,20,"DL","IND","IN",39.71733,-86.29438
224,"delayed",334,58,"11","Thur",19,1913,FALSE,147,2049,128,"AA","ORD","IL",41.9796,-87.90446
287,"delayed",1589,213,"8","Thur",20,1536,FALSE,46,1754,29,"OO","SFO","CA",37.619,-122.37484
296,"delayed",695,108,"8","Sat",22,1912,FALSE,120,2123,165,"OO","BNA","TN",36.12448,-86.67818
131,"delayed",334,53,"3","Wed",4,1843,FALSE,56,2013,41,"AA","ORD","IL",41.9796,-87.90446
361,"delayed",1589,212,"3","Tue",31,2135,FALSE,132,2348,108,"DL","SFO","CA",37.619,-122.37484
86,"on time",297,46,"6","Wed",3,1318,FALSE,7,1425,19,"DL","MKE","WI",42.94722,-87.89658
258,"delayed",1029,129,"8","Sun",9,1345,FALSE,-7,1737,86,"DL","JFK","NY",40.63975,-73.77893
220,"delayed",907,122,"7","Wed",1,1645,FALSE,70,2015,70,"WN","ATL","GA",33.64044,-84.42694
83,"on time",223,39,"11","Wed",25,2001,FALSE,7,2108,16,"DL","FAR","ND",46.91935,-96.81499
281,"delayed",1416,178,"5","Sat",9,710,FALSE,87,1129,82,"DL","RSW","FL",26.53617,-81.75517
128,"delayed",448,69,"7","Fri",24,700,FALSE,20,827,41,"DL","STL","MO",38.74769,-90.35999
218,"delayed",1174,137,"9","Sun",20,1126,FALSE,60,1524,40,"EV","JAX","FL",30.49406,-81.68786
290,"delayed",1589,236,"9","Thur",17,1536,FALSE,11,1754,32,"OO","SFO","CA",37.619,-122.37484
204,"delayed",334,66,"11","Mon",30,1959,FALSE,96,2129,114,"DL","ORD","IL",41.9796,-87.90446
153,"delayed",695,103,"4","Sun",19,1738,FALSE,-3,1949,22,"OO","BNA","TN",36.12448,-86.67818
287,"delayed",1416,167,"2","Mon",23,1120,FALSE,100,1542,85,"NK","RSW","FL",26.53617,-81.75517
384,"delayed",980,111,"2","Tue",10,1510,FALSE,223,1839,235,"EV","RDU","NC",35.87764,-78.78747
123,"delayed",449,80,"11","Sun",22,1122,FALSE,24,1304,21,"OO","MOT","ND",48.25938,-101.28033
