"success","goal","duration","name_length","blurb_length","launch_hr","deadline_hr","created_at_hr","deadline_weekday","created_at_weekday","category","country","currency","launch_month","launch_weekday"
"FALSE",15000,60,2,14,7,7,8,"Sunday","Friday","Web","US","USD","Apr","Wed"
"FALSE",10000,14,2,18,9,9,3,"Monday","Sunday","Web","GB","GBP","Nov","Mon"
"FALSE",75000,60,8,16,20,20,13,"Sunday","Thursday","Web","US","USD","Apr","Wed"
"FALSE",25000,30,5,8,14,14,9,"Tuesday","Tuesday","Web","US","USD","Aug","Sun"
"FALSE",15000,30,4,13,12,12,19,"Sunday","Wednesday","Web","AU","AUD","Jan","Fri"
"FALSE",305000,30,1,11,8,8,16,"Monday","Sunday","Web","US","USD","Sep","Sat"
"FALSE",10000,60,3,4,8,8,16,"Tuesday","Thursday","Web","US","USD","Apr","Fri"
"FALSE",1,30,3,12,18,18,21,"Tuesday","Thursday","Web","US","USD","Mar","Sun"
"FALSE",27500,45,8,15,15,15,8,"Thursday","Thursday","Web","US","USD","Dec","Mon"
"FALSE",15000,60,1,10,21,21,19,"Friday","Friday","Web","AU","AUD","Jul","Mon"
"FALSE",20000,30,4,15,10,10,0,"Wednesday","Saturday","Web","GB","GBP","Sep","Mon"
"FALSE",5000,30,7,13,13,13,16,"Friday","Sunday","Web","US","USD","May","Wed"
"FALSE",6e+05,30,5,14,11,11,8,"Wednesday","Friday","Web","US","USD","Aug","Mon"
"FALSE",75000,30,2,15,5,5,5,"Friday","Friday","Web","FR","EUR","Aug","Wed"
"FALSE",10000,30,1,12,14,14,13,"Saturday","Tuesday","Web","US","USD","Nov","Thu"
"FALSE",25000,60,3,12,11,11,14,"Friday","Wednesday","Web","CA","CAD","Jul","Mon"
"FALSE",50000,60,3,14,6,6,5,"Saturday","Tuesday","Web","AU","AUD","Aug","Tue"
"FALSE",10000,30,1,13,3,3,7,"Friday","Saturday","Web","US","USD","Jan","Wed"
"FALSE",30000,30,9,14,9,9,12,"Thursday","Tuesday","Web","US","USD","Jun","Tue"
"FALSE",1e+05,32.8273842592593,1,13,15,11,20,"Tuesday","Monday","Web","US","USD","Aug","Thu"
"FALSE",10000,30,6,17,3,3,15,"Sunday","Wednesday","Web","CH","CHF","Nov","Fri"
"FALSE",5000,60,2,14,22,22,18,"Sunday","Thursday","Web","US","USD","Aug","Wed"
"FALSE",12000,60,8,14,22,22,14,"Tuesday","Thursday","Web","US","USD","Sep","Fri"
"FALSE",15000,30,1,5,17,17,9,"Wednesday","Monday","Web","US","USD","Feb","Mon"
"FALSE",10000,30,2,23,7,7,6,"Thursday","Tuesday","Web","SE","SEK","Jan","Tue"
"FALSE",1200,30,5,14,16,16,8,"Sunday","Thursday","Web","US","USD","Apr","Fri"
"FALSE",8000,29.1397337962963,2,11,20,0,17,"Sunday","Thursday","Web","US","USD","Apr","Fri"
"FALSE",125000,30,3,11,14,14,19,"Friday","Wednesday","Web","US","USD","Sep","Wed"
"FALSE",3400,24.1602777777778,1,13,17,21,21,"Thursday","Wednesday","Web","US","USD","Oct","Mon"
"FALSE",3000,30,4,13,3,3,16,"Saturday","Wednesday","Web","GB","GBP","Dec","Thu"
"FALSE",5000,30,8,15,14,14,19,"Thursday","Sunday","Web","US","USD","Sep","Tue"
"FALSE",15000,30,6,15,10,10,10,"Saturday","Monday","Web","US","USD","Apr","Thu"
"FALSE",1000,30,5,10,17,17,18,"Thursday","Monday","Web","DK","DKK","Oct","Tue"
"FALSE",6000,30,5,13,17,17,9,"Wednesday","Friday","Web","US","USD","Mar","Mon"
"FALSE",156000,35.4815972222222,1,17,11,23,23,"Thursday","Wednesday","Web","US","USD","Apr","Thu"
"FALSE",10000,44.1935763888889,3,13,11,16,12,"Saturday","Wednesday","Web","US","USD","Apr","Thu"
"FALSE",15000,30,2,12,2,2,23,"Sunday","Friday","Web","US","USD","Aug","Fri"
"FALSE",160000,60,4,13,18,18,3,"Sunday","Wednesday","Web","US","USD","Nov","Wed"
"FALSE",4000,30,6,15,1,1,18,"Wednesday","Thursday","Web","AU","AUD","Aug","Mon"
"FALSE",6000,46.1974305555556,3,16,18,22,22,"Saturday","Monday","Web","US","USD","Sep","Tue"
"FALSE",2300,40.5840972222222,5,13,7,22,5,"Monday","Wednesday","Web","CA","CAD","Jan","Wed"
"FALSE",64000,43.1520949074074,3,7,21,0,11,"Thursday","Thursday","Web","US","USD","Nov","Tue"
"FALSE",12000,24.0018634259259,7,14,17,17,15,"Saturday","Thursday","Web","GB","GBP","Nov","Wed"
"FALSE",50000,30,8,17,16,16,18,"Wednesday","Saturday","Web","US","USD","Apr","Mon"
"FALSE",6500,20,3,11,12,12,23,"Thursday","Tuesday","Web","US","USD","Feb","Fri"
"FALSE",80000,30,6,16,13,13,16,"Wednesday","Saturday","Web","CA","CAD","Aug","Mon"
"FALSE",10000,30,7,14,13,13,10,"Thursday","Monday","Web","US","USD","Feb","Tue"
"FALSE",150000,30,3,13,11,11,3,"Wednesday","Tuesday","Web","US","USD","May","Mon"
"FALSE",1000,30,5,18,14,14,12,"Sunday","Thursday","Web","US","USD","Jul","Fri"
"FALSE",15000,25.2292592592593,1,14,10,16,15,"Monday","Friday","Web","US","USD","Jun","Thu"
