"id","name","mobility","state","population","urban","seg_racial","seg_income","seg_poverty","seg_affluenc.e","commute","income","gini","share_01","gini_99","middle_class","local_tax_rate","local_gov_spending","progressivity","eitc","school_spending","student_teacher_ratio","colleges","tuition","graduation","labor_force_participation","manufacturing","teenage_labor","migration_in","migration_out","social_capital","longitude","latitude"
28302,"Ogallala",0.162280709,"NE",16920,"rural",0.038,0.005,0.001,0.006,0.614,34904,0.326,8.858,0.238,0.671,0.037,2532,1.72,0,8.616,12.8,NA,NA,NA,0.649,0.061,0.007,0.003,0.008,1.193,-101.9265594,41.02142715
28303,"Oshkosh",NA,"NE",2292,"rural",0,0,0,0,0.677,31316,0.278,NA,NA,NA,0.041,2821,1.72,0,8.744,11.2,NA,NA,NA,0.593,0.026,NA,NA,NA,3.942,-102.3585434,41.56154251
28304,"Valentine",0.145348832,"NE",8122,"rural",0.031,0.003,0.001,0.004,0.704,31506,0.347,7.675,0.27,0.614,0.036,2561,1.72,0,6.509,12.2,NA,NA,NA,0.683,0.026,0.007,0.004,0.006,1.716,-101.2975388,42.21408844
28305,"Broken Bow",0.176470593,"NE",13105,"rural",0.01,0.004,0.002,0.004,0.63,33846,0.3,6.249,0.237,0.632,0.031,2927,1.72,0,6.951,12.6,NA,NA,NA,0.649,0.1,0.006,0.007,0.014,1.554,-99.98648834,41.61204529
28306,"North Platte",0.122767858,"NE",35939,"rural",0.038,0.021,0.016,0.023,0.598,35591,0.323,7.625,0.247,0.571,0.033,2203,1.72,0,6.038,14.6,0.028,1260,0.024,0.658,0.037,0.006,0.017,0.014,1.646,-100.814537,41.27867889
28401,"Colorado Springs",0.089342691,"CO",587132,"urban",0.084,0.111,0.093,0.129,0.311,37765,0.404,11.252,0.292,0.543,0.024,2739,0,1.429,5.477,18.7,0.02,4922,0.066,0.696,0.108,0.005,0.05,0.047,-0.169,-105.3561478,38.32243347
28402,"Limon",0.178571433,"CO",6087,"rural",0.059,0.002,0.004,0.001,0.631,25562,0.403,NA,NA,NA,0.035,3139,0,1.429,5.838,16.9,NA,NA,NA,0.524,0.02,NA,0.002,0.008,-0.17,-103.5012054,38.91321182
28501,"Springfield",0.191919193,"CO",4517,"rural",0.001,0.001,0.002,0.001,0.667,31260,0.305,NA,NA,NA,0.041,3379,0,1.429,7.474,10.8,NA,NA,NA,0.577,0.024,NA,NA,NA,0.665,-102.7212067,37.3058548
28502,"Pueblo",0.065621682,"CO",187782,"urban",0.089,0.072,0.061,0.083,0.44,31075,0.442,13.04,0.312,0.566,0.027,2410,0,1.429,5.7,18.3,0.021,1795,-0.107,0.577,0.085,0.005,0.017,0.015,0.547,-103.6605453,38.00615692
28503,"Trinidad",0.117647059,"CO",23069,"rural",0.065,0.019,0.019,0.022,0.579,30720,0.372,6.173,0.31,0.484,0.041,3305,0,1.429,6.233,15.9,0.043,1386,0.091,0.525,0.041,0.005,0.012,0.018,0.505,-104.9347076,37.63062286
28504,"Burlington",0.204651162,"CO",11864,"rural",0.068,0.004,0.002,0.005,0.655,32575,0.354,7.888,0.275,0.598,0.043,3420,0,1.429,6.836,13.2,NA,NA,NA,0.613,0.03,0.007,0.005,0.013,2.048,-102.8057022,38.81014252
28601,"Oberlin",0.243243247,"KS",6438,"rural",0.004,0.004,0.001,0.007,0.645,36684,0.274,4.693,0.227,0.65,0.034,2135,0.2,1.905,7.4,11.2,NA,NA,NA,0.579,0.024,0.007,NA,NA,3.01,-100.8070145,39.79944229
28602,"Norton",0.168674693,"KS",5953,"rural",0,0,0,0,0.735,27980,0.285,5.438,0.231,0.658,0.027,2660,0.2,1.905,6.952,11.7,NA,NA,NA,0.548,0.039,0.007,0.005,0.004,2.706,-99.99017334,39.70698166
28603,"Phillipsburg",0.14864865,"KS",10537,"rural",0.019,0.007,0.001,0.002,0.652,34879,0.331,10.852,0.222,0.677,0.032,2116,0.2,1.905,8.507,11.9,NA,NA,NA,0.602,0.098,0.007,0,0.004,2.311,-99.08483124,39.7482605
28604,"Colby",0.195876285,"KS",17107,"rural",0.015,0.005,0.002,0.008,0.72,36561,0.286,5.535,0.231,0.662,0.042,3042,0.2,1.905,7.703,11.7,0.058,1056,0.147,0.662,0.028,0.007,0.003,0.005,2.534,-100.7239456,39.06659317
28605,"Goodland",0.19491525,"KS",8509,"rural",0.006,0.002,0.001,0,0.716,32861,0.353,11.603,0.237,0.678,0.038,2866,0.2,1.905,6.592,13.6,NA,NA,0.528,0.659,0.035,0.007,0.007,0.004,2.447,-101.6901779,39.08805847
28606,"Wano",0.204545453,"KS",5457,"rural",0.006,0.002,0.005,0,0.661,36524,0.245,NA,NA,NA,0.035,2514,0.2,1.905,7.904,12.6,NA,NA,NA,0.618,0.023,NA,NA,NA,2.323,-101.7088089,39.94098663
28607,"McCook",0.182456136,"NE",19695,"rural",0.008,0.009,0.006,0.011,0.681,32797,0.339,8.313,0.256,0.656,0.03,2859,1.72,0,7.169,12.6,NA,NA,NA,0.642,0.079,0.006,0.002,0.009,1.369,-101.1281662,40.33379364
28608,"Kearney",0.164429531,"NE",56033,"rural",0.068,0.04,0.029,0.049,0.603,31135,0.379,13.401,0.245,0.64,0.026,1721,1.72,0,7.265,15.2,0.018,2243,0.173,0.71,0.138,0.007,0.016,0.02,1.265,-99.04553986,40.68668747
28609,"Lexington",0.165277779,"NE",48464,"rural",0.308,0.008,0.006,0.008,0.642,33765,0.304,6.246,0.242,0.664,0.03,3189,1.72,0,7.039,14.4,0.021,2486,0.116,0.65,0.203,0.007,0.01,0.016,1.83,-99.85023499,40.45066452
28701,"Salida",0.089473687,"CO",16242,"rural",0.032,0.023,0.012,0.029,0.644,33185,0.326,4.764,0.279,0.646,0.024,1897,0,1.429,5.695,15.5,NA,NA,NA,0.529,0.038,0.008,0.026,0.022,0.35,-106.2054901,38.75741959
